Team_ID,Season,CleanSheets,GoalConceded,GoalsConcededPerMatch,Saves,Tackle,TackleSuccess%,BlockedShots,Interceptions,Clearances,HeadedClearance,AerialBattle/DuelsWon,ErrorsLeadingToGoal,OwnGoals
12,2023/24,9,58,1.53,149,675,60%,174,312,827,423,"2,203",5,1
12,2022/23,17,43,1.13,101,657,61%,166,352,734,399,"2,205",4,1
12,2021/22,8,57,1.50,128,585,61%,144,340,673,375,"2,386",4,3
12,2020/21,13,44,1.16,100,551,56%,151,386,595,320,"2,465",6,2
12,2019/20,13,36,0.95,96,580,57%,128,379,627,327,"2,582",7,1
12,2018/19,7,54,1.38,122,581,60%,130,355,785,370,"2,683",8,3
12,2017/18,19,28,0.74,118,564,65%,168,481,853,436,"2,699",4,2
12,2016/17,17,29,0.76,85,690,71%,154,581,"1,110",571,"2,767",3,1
12,2015/16,18,35,0.92,90,760,76%,137,594,755,321,"2,482",2,2
12,2014/15,11,37,0.97,100,739,74%,144,679,"1,118",638,"2,689",3,1
23,2023/24,10,62,1.63,135,661,59%,153,284,647,312,"2,386",6,1
23,2022/23,14,33,0.87,97,607,59%,169,333,646,316,"2,468",3,2
23,2021/22,8,62,1.63,107,659,58%,121,360,743,394,"2,736",5,2
23,2020/21,7,62,1.63,133,512,52%,113,362,876,421,"2,565",4,3
23,2019/20,11,58,1.53,140,603,59%,117,391,934,478,"2,911",14,2
23,2018/19,11,48,1.26,95,714,61%,118,506,"1,120",564,"2,875",5,1
23,2017/18,9,47,1.24,105,644,66%,124,441,"1,125",594,"3,104",5,3
23,2015/16,8,65,1.71,115,793,77%,100,646,939,406,"2,565",6,2
23,2014/15,8,63,1.66,98,824,77%,132,639,"1,020",569,"3,033",12,1
15,2023/24,4,67,1.76,103,728,59%,116,331,910,440,"2,554",8,2
15,2022/23,8,68,1.84,115,660,59%,93,349,892,419,"2,437",5,0
18,2023/24,1,104,2.74,170,709,57%,105,347,997,451,"2,466",9,7
18,2020/21,5,63,1.66,147,634,56%,90,351,796,403,"2,639",4,3
18,2019/20,13,39,1.03,102,611,62%,95,420,880,455,"3,168",8,0
21,2023/24,7,61,1.61,110,724,62%,171,355,652,334,"2,319",6,3
21,2022/23,10,63,1.66,111,617,57%,146,340,725,391,"2,381",11,1
21,2021/22,16,40,1.05,98,598,58%,133,355,758,431,"2,505",3,1
21,2020/21,12,45,1.18,114,636,57%,105,342,746,409,"2,750",5,3
21,2019/20,8,47,1.24,140,665,62%,126,381,841,433,"2,830",8,2
21,2018/19,13,39,1.03,121,626,60%,142,326,770,411,"2,566",6,3
21,2017/18,16,36,0.95,93,618,65%,182,380,825,422,"2,673",9,1
21,2016/17,17,26,0.68,85,661,75%,183,314,"1,003",515,"2,699",7,1
21,2015/16,13,35,0.92,89,805,77%,180,645,"1,046",502,"2,619",6,3
21,2014/15,9,53,1.39,119,815,80%,153,674,"1,047",636,"2,809",11,2
25,2023/24,5,74,1.95,171,684,62%,112,361,862,417,"2,585",3,4
25,2022/23,9,55,1.45,117,608,55%,142,408,779,403,"2,417",5,1
25,2021/22,8,51,1.34,116,534,56%,128,374,755,409,"2,395",1,2
25,2020/21,11,47,1.24,109,514,54%,116,437,729,416,"2,661",3,5
25,2019/20,7,62,1.63,129,696,60%,94,421,752,380,"3,162",10,3
25,2018/19,7,55,1.45,148,723,54%,114,457,855,397,"2,781",5,2
25,2017/18,10,68,1.79,122,621,66%,95,482,"1,007",560,"2,990",9,1
25,2016/17,10,64,1.68,117,575,74%,146,611,"1,071",608,"2,872",12,0
25,2015/16,11,51,1.34,111,711,74%,138,668,"1,003",498,"2,878",14,2
25,2014/15,9,47,1.24,133,647,74%,141,505,"1,474",835,"3,036",6,2
38,2023/24,5,65,1.71,142,739,58%,111,284,786,406,"2,450",3,1
38,2022/23,11,58,1.53,119,660,56%,115,279,780,420,"2,367",6,1
38,2021/22,11,43,1.13,125,673,56%,108,389,771,390,"2,384",5,1
38,2020/21,10,52,1.37,103,588,57%,130,432,675,389,"2,596",7,3
38,2019/20,13,40,1.05,91,646,57%,136,437,652,358,"3,077",6,1
38,2018/19,9,46,1.21,100,720,57%,118,501,824,464,"2,998",3,4
26,2022/23,7,68,1.79,116,699,59%,112,367,723,404,"2,415",6,5
26,2021/22,7,59,1.55,135,690,56%,118,367,727,388,"2,445",4,1
26,2020/21,11,50,1.32,88,681,59%,145,438,629,350,"2,674",4,2
26,2019/20,13,43,1.13,96,742,58%,140,423,700,344,"2,897",4,3
26,2018/19,10,48,1.26,90,676,58%,133,436,945,500,"3,074",4,0
26,2017/18,9,60,1.58,107,630,66%,116,413,920,487,"2,992",5,2
26,2016/17,9,63,1.66,131,677,72%,123,531,"1,028",546,"2,824",2,2
26,2015/16,15,36,0.95,99,869,76%,128,819,"1,040",464,"3,069",1,0
26,2014/15,10,55,1.45,124,791,77%,112,750,"1,177",701,"3,248",8,5
9,2022/23,5,78,2.05,110,840,57%,146,392,709,330,"2,689",9,1
9,2021/22,5,79,2.08,147,786,55%,137,395,604,268,"2,437",6,1
9,2020/21,12,54,1.42,148,740,56%,126,397,611,293,"2,558",5,2
20,2022/23,4,73,1.92,83,713,60%,111,428,826,394,"2,560",6,5
20,2021/22,8,67,1.76,118,602,56%,135,446,761,344,"2,662",6,2
20,2020/21,9,68,1.79,113,727,58%,97,401,644,316,"2,552",4,2
20,2019/20,9,60,1.58,109,706,59%,128,425,824,373,"3,153",10,1
20,2018/19,7,65,1.71,114,699,61%,138,548,"1,068",502,"2,863",10,3
20,2017/18,8,56,1.47,110,658,69%,113,462,953,509,"2,803",13,1
20,2016/17,14,48,1.26,76,675,72%,144,516,919,494,"2,685",3,0
20,2015/16,12,41,1.08,94,714,75%,120,709,"1,101",462,"2,792",7,0
20,2014/15,15,33,0.87,80,813,79%,122,619,875,400,"2,736",5,0
33,2021/22,4,77,2.03,117,614,58%,98,444,866,457,"2,789",11,3
33,2019/20,9,64,1.64,117,657,56%,130,424,822,397,"2,977",2,3
33,2018/19,7,59,1.55,127,655,60%,128,426,956,447,"2,855",7,3
33,2017/18,9,64,1.68,95,668,65%,115,467,953,492,"3,082",8,1
33,2016/17,7,68,1.79,121,618,72%,112,512,"1,016",479,"2,800",7,2
14,2021/22,6,84,2.21,142,614,60%,117,381,816,419,"2,331",5,2
14,2019/20,5,75,1.97,140,628,60%,123,397,891,435,"2,540",7,3
