ClubBadge,HomeKit,AwayKit,ThirdKit,Team_ID,TeamName
https://resources.premierleague.com/premierleague/badges/t6.png,https://resources.premierleague.com/photos/2023/08/20/e6d9b79f-8bdd-4af6-851e-3f2308ea1010/TOT_2324_HK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2023/08/20/341d3d4a-3296-4e41-a661-abc350a2bb5f/TOT_2324_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2023/08/31/d7dcc670-cbb9-4958-bc2c-66e909ebb2ec/TOT_2324_TK_PL_S1.png?width=260&height=330,21,Tottenham-Hotspur
https://resources.premierleague.com/premierleague/badges/t21.png,https://resources.premierleague.com/photos/2023/08/20/99cec219-3b71-4386-873b-52092ffb7d16/WHU_2324_HK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2023/08/20/fe7f0617-5806-44cc-be01-f6325464293b/WHU_2324_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2023/08/20/6c24d7b9-34f8-40ee-86cf-0e736750db21/WHU_2324_TK_PL_S1.png?width=260&height=330,25,West-Ham-United
https://resources.premierleague.com/premierleague/badges/t39.png,https://resources.premierleague.com/photos/2023/08/20/c128c96f-793e-418e-a4ee-1b10e88db28b/WOL_2324_HK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2023/08/20/b55b7f25-c3b2-4ed6-8bff-b393e3ef324f/WOL_2324_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2023/08/20/62135438-eabe-460c-a3db-4a7f586a8240/WOL_2324_TK_PL_S1.png?width=260&height=330,38,Wolverhampton-Wanderers
https://resources.premierleague.com/premierleague/badges/t13.png,https://resources.premierleague.com/photos/2022/07/01/957174e6-0c62-46e7-a1eb-b64386128b97/LEI_2223_HK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2022/08/26/d86b0153-d89d-4673-8ed3-7d10b6ae7886/LEI_2223_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2022/08/06/3babe042-f85b-4238-bc48-ff1e6d5d95ca/LEI_2223_TK_PL_S1.png?width=260&height=330,26,Leicester-City
https://resources.premierleague.com/premierleague/badges/t2.png,https://resources.premierleague.com/photos/2022/07/14/27e25698-c64c-4df5-8d2f-4eac2493c50f/LEE_2223_HK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2022/08/06/dd42f16b-eeed-485a-9976-59966c43b15a/LEE_2223_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2022/08/26/ddf1c8fb-3cd7-4162-ab2c-ab206287d5a9/LEE_2223_TK_PL_S1.png?width=260&height=330,9,Leeds-United
https://resources.premierleague.com/premierleague/badges/t20.png,https://resources.premierleague.com/photos/2022/08/06/0d26af3e-128c-4391-863f-2addcb6e1ebe/SOU_2223_HK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2022/08/06/4b8780f8-a6dd-495b-ad8c-113f07a9495e/SOU_2223_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2022/08/06/87cd2401-abb3-4f5e-ba1d-65f18bfbcef2/SOU_2223_TK_PL_S1.png?width=260&height=330,20,Southampton
https://resources.premierleague.com/premierleague/badges/t57.png,https://resources.premierleague.com/photos/2021/08/17/9be66156-2da8-42ad-ac30-cb8f69c95afe/WAT_2122_HK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2021/08/17/a0014091-6678-4dac-8f73-836e8d26dbe4/WAT_2122_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2021/08/27/ccb6602b-aca7-4b9e-8634-7acd9cfb7cfa/WAT_2122_TK_PL_S1-1-.png?width=260&height=330,33,Watford
https://resources.premierleague.com/premierleague/badges/t45.png,https://resources.premierleague.com/photos/2021/07/14/f88021c1-de84-4323-a0bf-08828c6b801f/NOR_HK_2021-22_Shirt_516x680.png?width=260&height=330,https://resources.premierleague.com/photos/2021/07/30/09e89475-5e4f-44bb-9ca7-e0165c292400/NOR_2122_AK_PL_S1.png?width=260&height=330,https://resources.premierleague.com/photos/2021/08/09/7f6a5a3b-f199-46c3-96ba-605944bcb304/NOR_2122_TK_PL_S1.png?width=260&height=330,14,Norwich-City
https://resources.premierleague.com/premierleague/badges/t35.png,https://resources.premierleague.com/photos/2020/09/10/38bfaeb6-ee09-46bd-b539-a6c66dc3303a/WBA_HK_516_2020_21-1-.png?width=260&height=330,https://resources.premierleague.com/photos/2020/09/10/d7304d51-892a-4fc2-bd12-a21233a30cec/WBA_AK_516_2020_21.png?width=260&height=330,https://resources.premierleague.com/photos/2020/09/10/1881c2b5-152c-4f6a-8ab9-ba2ffc604fc6/WBA_TK_516_2020_21-1-.png?width=260&height=330,36,West-Bromwich-Albion
https://resources.premierleague.com/premierleague/badges/t97.png,https://resources.premierleague.com/photos/premierleague/photo/2018/08/23/bcfee26f-57d8-4ce3-8a4a-ef0be145c284/cardiff-hk-1819-516x680-3-.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2018/08/23/69938f71-d5e4-409c-8106-56a07ca87e40/cardiff-ak-1819-516x680-2-.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2018/08/23/ced84484-3ce3-40f4-95aa-5077f4535785/cardiff-tk-1819-516x690-3-.png?width=260&height=330,46,Cardiff-City
https://resources.premierleague.com/premierleague/badges/t38.png,https://resources.premierleague.com/photos/premierleague/photo/2018/07/06/2ea6f760-86fb-4d5e-b8dc-8c1e4ad5a027/huddersfield-hk-1819-516x680-1-.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2018/07/12/b6ddc4cb-d3c6-41be-bbfd-68ae4d3fb1db/huddersfield-ak-1819-516x680.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2018/07/31/8a8c1719-e93c-4b9d-b34c-783eda9fc428/huddersfield-tk-1819-516x690.png?width=260&height=330,159,Huddersfield-Town
https://resources.premierleague.com/premierleague/badges/t80.png,https://resources.premierleague.com/photos/premierleague/photo/2017/07/28/d17fab12-b002-4593-9a13-714119d06f1b/SWA_HK_1718_Shi.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2017/07/28/a7225e11-fef5-4e05-a072-ada4310f07b7/SWA_AK_1718_Shi.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2017/08/04/0338de52-11b6-46b3-a406-fc0f9227d572/SWA_1718_TK_PL_S1.png?width=260&height=330,45,Swansea-City
https://resources.premierleague.com/premierleague/badges/t110.png,https://resources.premierleague.com/photos/premierleague/photo/2017/07/28/b845372e-3e10-4de2-8026-bcb7d39d16fe/STK_HK_1718_Shi.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2017/07/28/0fb8a864-ee29-4da8-8505-c8403583bd02/STK_AK_1718_Shi.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2017/07/28/c6fd9658-d325-4c2f-8e72-d53cba03492c/STK_TK_1718_Shi.png?width=260&height=330,42,Stoke-City
https://resources.premierleague.com/premierleague/badges/t88.png,https://resources.premierleague.com/photos/premierleague/photo/2016/07/27/78b82846-bf88-4e0f-a43e-234cda434c5b/hull-hk-1617-258x340.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2016/08/10/9a1c71a1-a840-4250-84e2-1144ee84207e/hull-ak-1617-258x340.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2016/11/04/07965fa8-827a-4b4e-a347-571380f9e2c1/hull-tk-1617-258x340.png?width=260&height=330,41,Hull-City
https://resources.premierleague.com/premierleague/badges/t25.png,https://resources.premierleague.com/photos/premierleague/photo/2016/07/04/a72682b0-5a62-4556-9a9f-b214633a97cf/middlesbrough-hk-1617-258x340.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2016/08/05/d067e81a-c4fc-4f5f-84db-0808406f893c/middlesbrough-ak-1617-258x340.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2017/04/27/c137c155-bc60-4440-92b1-faf3b8c25a86/middlesbrough-tk-1617-258x340.png?width=260&height=330,13,Middlesbrough
https://resources.premierleague.com/premierleague/badges/t56.png,https://resources.premierleague.com/photos/premierleague/photo/2016/07/04/6ab58fe0-e637-443d-aea4-40f527de9e9e/sunderland-hk-1617-258x340.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2016/08/10/d2e41385-e577-4218-bb8e-ff0d76eed45c/sunderland-ak-1617-258x340.png?width=260&height=330,https://resources.premierleague.com/photos/premierleague/photo/2016/09/05/1e56aa82-f7fb-4237-af8d-591075ca66b6/sunderland-tk-1617-258x340.png?width=260&height=330,29,Sunderland
